player_id,inferred_home_region,unique_event_locations,unique_event_states,avg_travel_distance_miles,max_travel_distance_miles,pct_events_outside_home_region,traveling_competitor_label,travel_distance_confidence
30444207,TX,4,3,247.55365885473435,981.2665220835512,0.125,Multi-state competitor,approximate (city-level)
30520681,CA,10,1,132.05381585473853,275.3657912584673,0.0,Multi-state competitor,approximate (city-level)
30526166,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
30576909,NY,2,2,158.95846643420782,348.32773852944086,0.2,Multi-state competitor,approximate (city-level)
30595584,NJ,6,3,1101.8690815539117,2538.476626598255,0.7619047619047619,Tournament road warrior,approximate (city-level)
30602576,NY,2,1,0.0,0.0,0.0,Local grinder,approximate (state-level)
30632367,,1,1,,,,Insufficient location data,low
30632791,WI,8,6,1066.2276882021954,1751.3233516632288,0.7142857142857143,Tournament road warrior,approximate (city-level)
30642594,TX,1,1,55.43420672832856,55.43420672832856,0.0,Regional traveler,approximate (city-level)
30697941,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
30721310,NY,4,2,95.28232166360979,650.6424248984788,0.125,Regional traveler,approximate (state-level)
30733235,NY,3,1,93.41012242306465,115.1861371399849,0.0,Regional traveler,approximate (city-level)
30911018,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
30994349,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
31004023,NY,4,2,109.03981675799984,250.4185182000363,0.03333333333333333,Multi-state competitor,approximate (city-level)
31195654,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
